cl_id,successful,paid_amount,co_name,datecl,payment_method,mid,card_brand
361,0,4361.68,United Kingdom,1/19/2021,E-Wallet,275,Amex
1879,1,3096.04,Switzerland,3/4/2021,Mobile,71,JBC
9929,0,1976.16,Switzerland,2/12/2021,Credit cards,198,MasterCard
2702,1,4110.48,New Zealand,1/6/2021,Credit cards,69,Visa
9421,0,4160.2,New Zealand,2/16/2021,E-Wallet,74,MasterCard
5807,0,3532.32,United States,3/3/2021,Prepaid cards,209,JBC
8260,0,4945.76,Ireland,3/14/2021,Credit cards,211,JBC
7150,1,4171.16,Brazil,2/6/2021,Credit cards,89,Amex
2226,0,4365.6,United Kingdom,3/9/2021,Bank transfers,229,MasterCard
997,0,4226.76,Iran,3/17/2021,E-Wallet,51,Visa
5589,1,2513.88,Finland,1/10/2021,E-Wallet,85,MasterCard
8051,1,4555.32,France,1/6/2021,Prepaid cards,14,MasterCard
3888,0,1442.88,Canada,2/21/2021,Credit cards,281,JBC
4371,0,2155.28,Germany,3/3/2021,Credit cards,174,MasterCard
4549,1,1022.68,Germany,3/22/2021,Credit cards,34,JBC
2670,1,3312.4,Brazil,1/5/2021,Mobile,129,Visa
9630,1,4829,United States,1/23/2021,Credit cards,220,Visa
8615,0,2384.84,United Kingdom,3/31/2021,Mobile,192,MasterCard
1045,1,3477.08,Brazil,3/8/2021,Bank transfers,42,Visa
578,1,2284.64,Australia,3/3/2021,Credit cards,260,JBC
7343,0,4764.96,Norway,1/23/2021,Mobile,170,Amex
2583,0,3252.28,Spain,2/8/2021,Bank transfers,123,Visa
9667,0,2151.2,Switzerland,1/18/2021,Prepaid cards,161,Visa
8081,0,1256.52,Canada,2/2/2021,Credit cards,177,MasterCard
3703,0,1308.68,New Zealand,1/3/2021,Prepaid cards,168,Visa
8724,0,3372.96,Iran,2/19/2021,Mobile,140,Amex
136,0,3420.32,Iran,1/11/2021,Mobile,264,Amex
6369,0,1197.44,Finland,3/28/2021,Credit cards,49,JBC
6800,1,2454.12,Turkey,2/14/2021,Prepaid cards,197,MasterCard
7486,0,1947.64,Iran,2/9/2021,E-Wallet,131,Visa
3039,0,3829.24,Australia,2/28/2021,Bank transfers,178,Amex
3711,0,3607.68,United States,1/2/2021,Bank transfers,270,Amex
1057,1,2405.44,Finland,1/21/2021,Prepaid cards,140,MasterCard
8848,1,1223,France,3/11/2021,Prepaid cards,43,Amex
6911,0,1881.04,Brazil,2/16/2021,E-Wallet,182,Amex
994,1,2766.8,Norway,3/12/2021,Bank transfers,52,Visa
2340,1,3633.4,Norway,3/21/2021,Credit cards,84,Visa
3467,1,3593.36,Ireland,1/23/2021,E-Wallet,79,MasterCard
4954,0,4774.36,Australia,3/22/2021,E-Wallet,190,Visa
6923,0,4410.24,Australia,2/16/2021,Credit cards,187,Amex
2475,0,1519.28,Norway,1/24/2021,Bank transfers,201,JBC
9484,1,2903.64,Finland,3/24/2021,Bank transfers,30,Amex
2930,1,3417.2,Finland,2/27/2021,E-Wallet,254,Visa
1696,0,2168.08,Norway,4/1/2021,Credit cards,29,MasterCard
3453,1,1158.04,Spain,3/31/2021,Bank transfers,282,Visa
7055,1,2040.44,Spain,2/23/2021,E-Wallet,112,MasterCard
4385,1,4883.96,France,2/24/2021,E-Wallet,20,JBC
634,1,3265.64,Turkey,2/26/2021,Credit cards,255,MasterCard
4544,1,2455,France,1/27/2021,E-Wallet,210,MasterCard
680,0,3808.56,Denmark,2/19/2021,Credit cards,149,Amex
2190,0,1016.24,France,1/28/2021,Credit cards,19,Amex
2240,0,1391.2,Ireland,3/24/2021,E-Wallet,208,MasterCard
3410,0,4540.76,Brazil,1/3/2021,Bank transfers,75,Amex
686,1,4067.04,Canada,2/18/2021,Bank transfers,245,MasterCard
8114,0,3477.08,Australia,2/20/2021,Prepaid cards,219,MasterCard
604,0,2116.28,Ireland,1/8/2021,Prepaid cards,188,Amex
4255,0,1540.84,Norway,1/8/2021,Mobile,244,Amex
756,1,2835.4,France,2/14/2021,Credit cards,300,JBC
8906,0,2993.96,Spain,3/28/2021,E-Wallet,98,MasterCard
1300,0,2259.84,Brazil,3/9/2021,Mobile,158,MasterCard
6241,1,4992.12,Turkey,3/28/2021,Prepaid cards,288,Amex
3118,1,2745.88,Finland,2/17/2021,Bank transfers,111,MasterCard
9707,0,2388.2,Iran,3/31/2021,Credit cards,261,Amex
1479,1,4418.76,Ireland,3/23/2021,Bank transfers,240,Amex
5715,0,3700.52,Turkey,2/25/2021,Prepaid cards,251,MasterCard
826,1,1424.96,Switzerland,1/17/2021,Credit cards,176,Visa
1061,0,1967.92,Netherlands,3/5/2021,Bank transfers,46,JBC
4267,1,4437.88,Finland,2/26/2021,E-Wallet,239,JBC
2252,1,1303.68,Australia,3/6/2021,Bank transfers,65,Amex
6491,1,2958.96,France,3/26/2021,E-Wallet,72,Amex
5162,1,3736.84,Australia,2/28/2021,Mobile,297,MasterCard
2211,1,3169.08,United States,3/27/2021,Bank transfers,251,JBC
2299,1,3078.44,Denmark,2/7/2021,Bank transfers,248,Amex
4484,1,1958.56,Finland,3/10/2021,Mobile,34,JBC
2171,1,1456.36,Turkey,3/8/2021,Bank transfers,7,Visa
2663,0,4936.72,Canada,2/23/2021,Credit cards,151,Amex
9310,1,4573.6,United Kingdom,2/9/2021,Bank transfers,254,JBC
4781,0,3349.56,United Kingdom,2/14/2021,Credit cards,69,JBC
4227,1,3280.2,United States,2/22/2021,Mobile,112,Visa
4472,0,1191.52,Turkey,3/11/2021,Prepaid cards,173,Visa
1368,0,2040,Brazil,1/13/2021,Prepaid cards,274,JBC
7836,1,4319.24,Denmark,2/11/2021,Prepaid cards,72,Amex
7834,1,2900.2,United Kingdom,1/22/2021,Prepaid cards,107,Amex
9821,0,4991.76,Brazil,3/26/2021,Credit cards,54,MasterCard
202,0,4490.48,Australia,2/7/2021,E-Wallet,62,MasterCard
8754,1,2078.6,Canada,3/8/2021,E-Wallet,18,Amex
6071,1,1082.68,Brazil,3/22/2021,Mobile,249,Visa
3213,0,2887.92,Iran,3/9/2021,Credit cards,235,MasterCard
5218,0,2645.72,Spain,3/10/2021,Credit cards,128,JBC
9642,1,4079,United States,1/25/2021,Bank transfers,29,JBC
5599,0,3807.88,Turkey,1/31/2021,E-Wallet,12,JBC
8134,1,2753.36,Finland,3/18/2021,Bank transfers,1,MasterCard
5014,1,4162.44,Switzerland,3/26/2021,E-Wallet,111,Visa
8454,0,1106.96,Canada,1/1/2021,E-Wallet,173,MasterCard
2006,0,2565.88,Denmark,2/24/2021,Credit cards,160,Amex
6034,1,3290.88,France,1/13/2021,Credit cards,260,JBC
7822,1,3090.2,Spain,3/21/2021,E-Wallet,67,Amex
6424,1,3525.44,United States,3/1/2021,Mobile,281,Amex
4901,1,2918.36,Finland,1/5/2021,Mobile,119,Visa
8469,0,3349.44,Germany,2/21/2021,Bank transfers,30,MasterCard
2258,0,2193.72,Netherlands,2/3/2021,Bank transfers,82,Visa
165,0,4764.68,United Kingdom,1/16/2021,Bank transfers,244,MasterCard
1304,0,1096.16,Turkey,2/24/2021,Prepaid cards,163,JBC
6912,0,3168.48,United Kingdom,1/24/2021,Mobile,193,MasterCard
5282,0,3460.52,New Zealand,1/16/2021,Prepaid cards,104,Amex
3545,1,3609.16,Netherlands,3/21/2021,Bank transfers,157,Amex
2866,0,3388.4,Netherlands,3/17/2021,E-Wallet,1,Visa
5667,1,1777.68,Netherlands,2/9/2021,Prepaid cards,229,Visa
463,0,1473.68,Australia,2/7/2021,Credit cards,112,JBC
9024,1,2185.4,Switzerland,2/13/2021,Mobile,276,Visa
4858,0,2533.8,New Zealand,2/27/2021,Credit cards,9,Visa
327,1,1897.2,United Kingdom,2/10/2021,Bank transfers,154,MasterCard
2092,1,2202.04,Brazil,3/27/2021,Mobile,63,Amex
3527,0,4592.6,France,2/23/2021,Mobile,85,MasterCard
4285,1,1771.28,Iran,3/1/2021,Bank transfers,189,Visa
8706,0,3963.4,Netherlands,3/25/2021,Credit cards,60,MasterCard
1702,1,4904.56,Norway,1/19/2021,Prepaid cards,237,Visa
3745,0,2112.6,Denmark,2/6/2021,Prepaid cards,212,Amex
5112,0,4871.76,Brazil,3/26/2021,Credit cards,70,Amex
528,1,3094.8,United Kingdom,2/24/2021,Bank transfers,187,Visa
3765,0,1946.4,New Zealand,1/7/2021,Credit cards,101,Visa
2911,0,3654.44,Canada,3/20/2021,Mobile,182,MasterCard
3093,0,3544.8,Brazil,2/8/2021,Credit cards,262,Amex
3913,0,2314.44,Spain,2/25/2021,Prepaid cards,160,Amex
7557,1,4351.6,Germany,3/24/2021,E-Wallet,220,Visa
2844,1,3071.2,Netherlands,1/11/2021,Bank transfers,230,Visa
6042,1,3785.52,Turkey,3/12/2021,Credit cards,204,Visa
2814,0,2018,United States,1/20/2021,Prepaid cards,173,Amex
5970,0,2469.64,Finland,2/8/2021,Bank transfers,300,JBC
4513,1,4197.12,Denmark,1/27/2021,Mobile,90,Amex
3949,0,3049.08,Netherlands,3/20/2021,Credit cards,18,JBC
7928,0,1796.24,France,2/3/2021,Bank transfers,132,Visa
6905,0,2719.64,Netherlands,3/1/2021,Credit cards,169,MasterCard
8662,1,3016.24,New Zealand,2/18/2021,Prepaid cards,22,Amex
8867,0,1118.4,Brazil,1/7/2021,Bank transfers,204,Visa
63,1,3639.44,Brazil,3/15/2021,Prepaid cards,119,MasterCard
6347,1,2106.48,Norway,2/2/2021,Prepaid cards,140,JBC
2324,1,4594.32,France,3/20/2021,Prepaid cards,238,JBC
3057,0,3724.96,Switzerland,2/23/2021,Bank transfers,295,JBC
7819,0,3140.44,Norway,3/31/2021,Bank transfers,38,MasterCard
5987,1,1358.88,Norway,3/9/2021,Prepaid cards,139,JBC
4291,1,3012.48,Canada,2/6/2021,Prepaid cards,282,Amex
3209,1,3176.52,Switzerland,2/2/2021,E-Wallet,97,JBC
7078,0,1455.24,Australia,3/7/2021,Credit cards,57,Amex
8069,0,2583.24,United Kingdom,2/10/2021,E-Wallet,288,Visa
5654,0,2837.52,France,3/8/2021,E-Wallet,151,MasterCard
7354,0,1926.2,Spain,3/20/2021,Credit cards,222,Visa
1171,1,1493.92,Netherlands,2/9/2021,Prepaid cards,190,JBC
1937,0,3361.4,Germany,1/4/2021,Prepaid cards,222,Amex
9718,1,3991.72,United Kingdom,3/31/2021,Bank transfers,197,JBC
1250,1,1487.56,Germany,1/18/2021,Bank transfers,30,MasterCard
8392,1,1664.88,Denmark,3/13/2021,Mobile,292,Visa
3379,1,4043.68,Switzerland,1/27/2021,E-Wallet,168,MasterCard
6842,0,4538.12,Denmark,3/24/2021,Mobile,71,JBC
1583,1,3168.84,Finland,3/13/2021,Prepaid cards,202,Amex
3012,0,2997.88,New Zealand,3/20/2021,Credit cards,192,Amex
7323,0,3678.4,Brazil,1/11/2021,Bank transfers,59,MasterCard
6000,0,3240.68,United Kingdom,1/3/2021,Prepaid cards,105,MasterCard
8362,1,2344.96,United Kingdom,1/27/2021,E-Wallet,188,Visa
4154,0,3505.32,Ireland,1/8/2021,Credit cards,264,Visa
4197,0,4735.6,United Kingdom,2/15/2021,Mobile,285,Visa
3663,0,2930,Turkey,2/12/2021,E-Wallet,114,JBC
2253,1,4216.32,New Zealand,3/29/2021,Credit cards,117,JBC
8016,0,2446.8,Brazil,3/29/2021,Credit cards,173,MasterCard
6474,0,3014.44,Netherlands,2/27/2021,Bank transfers,208,Visa
8548,0,2188.64,Iran,2/28/2021,Prepaid cards,18,JBC
59,0,2927.88,Finland,2/17/2021,Credit cards,157,Amex
3854,0,4705.64,New Zealand,3/1/2021,Credit cards,251,Visa
6368,0,3378.96,Iran,2/4/2021,E-Wallet,98,JBC
5059,0,4330.32,Turkey,3/5/2021,Credit cards,102,Visa
5167,1,4304.92,Denmark,3/14/2021,Credit cards,290,Visa
5552,1,1095.4,United Kingdom,3/1/2021,E-Wallet,248,Amex
1452,0,2397.64,Iran,3/17/2021,E-Wallet,164,MasterCard
906,1,1816.28,Finland,2/21/2021,Mobile,140,Amex
4722,0,1181.52,New Zealand,1/31/2021,Prepaid cards,270,Visa
767,0,3478,Turkey,3/29/2021,E-Wallet,288,JBC
1281,1,3699.36,United Kingdom,1/11/2021,E-Wallet,278,MasterCard
440,0,4023.36,Germany,3/1/2021,Mobile,162,JBC
7305,1,1719.24,United States,2/12/2021,Prepaid cards,119,JBC
3838,0,4929.44,United States,2/13/2021,Bank transfers,52,JBC
2224,1,1733.36,Ireland,3/16/2021,Bank transfers,183,MasterCard
3458,0,4724.36,Brazil,3/20/2021,Prepaid cards,67,JBC
3025,1,4509.44,Norway,3/25/2021,Prepaid cards,83,Visa
6593,0,4595.72,United Kingdom,3/19/2021,Bank transfers,75,Visa
8861,1,3759.52,Brazil,1/15/2021,Bank transfers,231,Visa
5247,0,3230.4,Spain,2/27/2021,Bank transfers,180,Visa
7946,0,4662.92,Finland,2/17/2021,Bank transfers,270,JBC
4540,0,4350.68,United States,1/14/2021,E-Wallet,273,JBC
9762,1,3816,New Zealand,3/5/2021,Prepaid cards,111,Amex
2567,0,3117.68,United States,3/4/2021,Prepaid cards,217,Visa
196,0,2415.88,Norway,3/18/2021,Credit cards,194,MasterCard
8266,0,1027,Ireland,2/20/2021,Prepaid cards,159,Amex
4021,0,2665.28,United States,2/1/2021,Mobile,182,MasterCard
7463,1,3650.76,Switzerland,1/4/2021,Prepaid cards,105,Visa
8793,0,2829.16,United Kingdom,3/7/2021,Credit cards,2,Amex
7293,1,1047.96,Iran,1/31/2021,Credit cards,175,JBC
1164,1,4350.44,Norway,3/26/2021,E-Wallet,173,Visa
6637,0,2639.04,Australia,1/28/2021,Bank transfers,245,MasterCard
3504,0,3257.92,United Kingdom,3/17/2021,Bank transfers,31,MasterCard
6002,0,3189.56,Spain,3/7/2021,Credit cards,202,MasterCard
5338,0,1408,New Zealand,1/4/2021,E-Wallet,250,MasterCard
5829,0,4595.8,Turkey,3/16/2021,Mobile,65,JBC
9405,1,2403.8,United Kingdom,3/24/2021,Credit cards,179,Visa
3870,1,4408.12,Brazil,2/22/2021,Mobile,152,JBC
4620,1,4611.96,Canada,2/8/2021,Mobile,146,JBC
4945,1,4996.2,Ireland,3/30/2021,Bank transfers,1,MasterCard
